Year,Coal,NaturalGas,Petroleum,ConvHydro,PsHydro,Nuclear,NetImports,Other,Waste,LFG,Wood,Wind,Solar,Total
2012,4551,59462,580,24572,731.0,40775,26182,,1897.0,736.0,311.0,2992,53.0,162842
2011,9426,50805,1189,27634,721.0,42695,25202,,1878.0,735.0,210.0,2828,7.0,163330
2010,13583,48916,2005,24214,889.0,41870,26517,,1893.0,708.0,315.0,2596,,163505
2009,12759,41780,2648,26420,1525.0,43485,25009,,1900.0,648.0,340.0,2266,,158780
2008,19154,43856,3745,25711,1790.0,43209,23900,,1903.0,533.0,560.0,1251,,165613
2007,21406,45634,8195,24184,1373.0,42453,20708,,1902.0,397.0,256.0,833,,167341
2006,20968,42134,6778,27110,1312.0,42224,18568,,1902.0,326.0,260.0,655,,162237
2005,20598,31873,24013,26204,1379.0,42443,18115,,1899.0,329.0,253.0,103,,167208
2004,22853,27294,21205,26745,1408.0,40640,17646,,1883.0,209.0,211.0,116,,160211
2003,23581,28156,19292,24207,1591.0,40679,18163,,1905.0,205.0,192.0,41,,158012
2002,23239,38451,11534,24612,1601.0,39617,17088,,1878.0,198.0,206.0,82,,158507
2001,23432,38697,16512,21486,1666.0,40395,10628,,1837.0,284.0,283.0,21,,155241
2000,25010,39729,14945,24910,1843.0,31508,15723,2958.0,,,,10,,156636
1999,23366,45999,13304,24752,2058.0,37019,6904,2950.0,,,,0,,156352
1998,25265,42472,14901,29316,2211.0,31314,3145,2754.0,,,,0,,151377
1997,24059,46281,8588,30618,2058.0,29570,4913,2809.0,,,,0,,148896
1996,22672,37449,9717,28951,2177.0,35226,9472,2863.0,,,,0,,148527
1995,22289,49057,8268,25993,2077.0,26336,11777,2632.0,,,,0,,148429
1994,23291,32230,12030,27791,2149.0,29231,18453,2602.0,,,,0,,147777
1993,24502,27075,15073,29443,2043.0,26889,19509,2374.0,,,,0,,146909
1992,27280,26850,18319,28057,,24155,16450,2320.0,,,,0,,143431
1991,26660,23074,28221,27172,,28448,9411,2033.0,,,,0,,145019
1990,25913,22724,33885,28188,,23623,4519,2066.0,,,,0,,140919
1989,31228,17141,40963,24697,,22847,5539,,,,,0,,142415
1988,28698,13936,39931,23901,,24175,9994,,,,,0,,140635
1987,25304,16385,31389,27546,,22926,11373,,,,,0,,134923
1986,20815,12471,31911,29480,,22084,13204,,,,,0,,129965
1985,24255,15995,25927,26956,,24092,10155,,,,,0,,127380
1984,21902,15395,28891,26586,,21187,10812,,,,,0,,124773
1983,20753,12428,34380,26162,,16376,11888,,,,,0,,121987
1982,20807,13974,32932,25329,,14438,10196,,,,,0,,117676
1981,19632,11566,36760,25658,,17444,7137,,,,,0,,118197
1980,19643,10766,37834,26241,,19276,5575,,,,,0,,119335
